Sermon Title,Audio URL
All Things are Ready - Voltage Service (12-05-19),https://archive.org/download/clc-2019-sermons/All%20Things%20are%20Ready%20-%20Voltage%20Service%20%2812-05-19%29.mp3
Appropriating Healing (03-04-19),https://archive.org/download/clc-2019-sermons/Appropriating%20Healing%20%2803-04-19%29.mp3
Be that Example - Voltage Service (01-09-19),https://archive.org/download/clc-2019-sermons/Be%20that%20Example%20-%20Voltage%20Service%20%2801-09-19%29.mp3
Birth Pangs - Voltage Service (20-10-19),https://archive.org/download/clc-2019-sermons/Birth%20Pangs%20-%20Voltage%20Service%20%2820-10-19%29.mp3
Breaking Addictions - Voltage Service (11-08-19),https://archive.org/download/clc-2019-sermons/Breaking%20Addictions%20-%20Voltage%20Service%20%2811-08-19%29.mp3
Breaking Addictions 2 - Voltage Service (18-08-19),https://archive.org/download/clc-2019-sermons/Breaking%20Addictions%202%20-%20Voltage%20Service%20%2818-08-19%29.mp3
Breaking Off the Limits - Voltage Service (26-05-19),https://archive.org/download/clc-2019-sermons/Breaking%20Off%20the%20Limits%20-%20Voltage%20Service%20%2826-05-19%29.mp3
Choices and Happily Ever After (10-02-19),https://archive.org/download/clc-2019-sermons/Choices%20and%20Happily%20Ever%20After%20%2810-02-19%29.mp3
Christmas has Happened - Voltage Service (22-12-19),https://archive.org/download/clc-2019-sermons/Christmas%20has%20Happened%20-%20Voltage%20Service%20%2822-12-19%29.mp3
Companion Relationship - Voltage Service (10-03-19),https://archive.org/download/clc-2019-sermons/Companion%20Relationship%20-%20Voltage%20Service%20%2810-03-19%29.mp3
Crossover Service - Revive 2020 (31-12-19),https://archive.org/download/clc-2019-sermons/Crossover%20Service%20-%20Revive%202020%20%2831-12-19%29.mp3
Crucifixus 2019 (21-04-19),https://archive.org/download/clc-2019-sermons/Crucifixus%202019%20%2821-04-19%29.mp3
Crushing the Celebrity Culture - Voltage Service (27-10-19),https://archive.org/download/clc-2019-sermons/Crushing%20the%20Celebrity%20Culture%20-%20Voltage%20Service%20%2827-10-19%29.mp3
Cultures and Voices - Voltage Service (05-05-19),https://archive.org/download/clc-2019-sermons/Cultures%20and%20Voices%20-%20Voltage%20Service%20%2805-05-19%29.mp3
Dealing with Rejection - Voltage Service (28-04-19),https://archive.org/download/clc-2019-sermons/Dealing%20with%20Rejection%20-%20Voltage%20Service%20%2828-04-19%29.mp3
Dealing with Spiritual Fatigue and Tiredness  6 - Dealing with Discouragement (25-09-19),https://archive.org/download/clc-2019-sermons/Dealing%20with%20Spiritual%20Fatigue%20and%20Tiredness%20%206%20-%20Dealing%20with%20Discouragement%20%2825-09-19%29.mp3
Dealing with Spiritual Fatigue and Tiredness 1 (14-08-19),https://archive.org/download/clc-2019-sermons/Dealing%20with%20Spiritual%20Fatigue%20and%20Tiredness%201%20%2814-08-19%29.mp3
Dealing with Spiritual Fatigue and Tiredness 2 (21-08-19),https://archive.org/download/clc-2019-sermons/Dealing%20with%20Spiritual%20Fatigue%20and%20Tiredness%202%20%2821-08-19%29.mp3
Dealing with Spiritual Fatigue and Tiredness 3 - Ungodly Friendships & Relationships (28-08-19),https://archive.org/download/clc-2019-sermons/Dealing%20with%20Spiritual%20Fatigue%20and%20Tiredness%203%20-%20Ungodly%20Friendships%20%26%20Relationships%20%2828-08-19%29.mp3
Dealing with Spiritual Fatigue and Tiredness 4 - The Drain of Sin (11-09-19),https://archive.org/download/clc-2019-sermons/Dealing%20with%20Spiritual%20Fatigue%20and%20Tiredness%204%20-%20The%20Drain%20of%20Sin%20%2811-09-19%29.mp3
Dealing with Spiritual Fatigue and Tiredness 5 - God_s Perspective to Sin (18-09-19),https://archive.org/download/clc-2019-sermons/Dealing%20with%20Spiritual%20Fatigue%20and%20Tiredness%205%20-%20God_s%20Perspective%20to%20Sin%20%2818-09-19%29.mp3
Dealing with Spiritual Fatigue and Tiredness 7 - Renewing the New Man (09-10-19),https://archive.org/download/clc-2019-sermons/Dealing%20with%20Spiritual%20Fatigue%20and%20Tiredness%207%20-%20Renewing%20the%20New%20Man%20%2809-10-19%29.mp3
Dealing with Spiritual Fatigue and Tiredness 8 - Prayer & Fasting (16-10-19),https://archive.org/download/clc-2019-sermons/Dealing%20with%20Spiritual%20Fatigue%20and%20Tiredness%208%20-%20Prayer%20%26%20Fasting%20%2816-10-19%29.mp3
Dealing with Spiritual Fatigue and Tiredness 9 - Retreat (23-10-19),https://archive.org/download/clc-2019-sermons/Dealing%20with%20Spiritual%20Fatigue%20and%20Tiredness%209%20-%20Retreat%20%2823-10-19%29.mp3
Dealing with Weights - Voltage Service (22-09-19),https://archive.org/download/clc-2019-sermons/Dealing%20with%20Weights%20-%20Voltage%20Service%20%2822-09-19%29.mp3
Divine Establishment 1 (02-01-19),https://archive.org/download/clc-2019-sermons/Divine%20Establishment%201%20%2802-01-19%29.mp3
Divine Establishment 2 (06-01-19),https://archive.org/download/clc-2019-sermons/Divine%20Establishment%202%20%2806-01-19%29.mp3
Divine Establishment 3 (13-01-19),https://archive.org/download/clc-2019-sermons/Divine%20Establishment%203%20%2813-01-19%29.mp3
"Don_t Dwell in a Dry Land, There is a Pool in your Family (14-04-19)",https://archive.org/download/clc-2019-sermons/Don_t%20Dwell%20in%20a%20Dry%20Land%2C%20There%20is%20a%20Pool%20in%20your%20Family%20%2814-04-19%29.mp3
Embracing Process - Voltage Service (23-06-19),https://archive.org/download/clc-2019-sermons/Embracing%20Process%20-%20Voltage%20Service%20%2823-06-19%29.mp3
Enduring with the Truth - Voltage Service (02-06-19),https://archive.org/download/clc-2019-sermons/Enduring%20with%20the%20Truth%20-%20Voltage%20Service%20%2802-06-19%29.mp3
Eternal Judgement 1 (13-11-19),https://archive.org/download/clc-2019-sermons/Eternal%20Judgement%201%20%2813-11-19%29.mp3
Eternal Judgement 2 - God the Judge of All (20-11-19),https://archive.org/download/clc-2019-sermons/Eternal%20Judgement%202%20-%20God%20the%20Judge%20of%20All%20%2820-11-19%29.mp3
Eternal Judgement 3 - Judgement as it Pertains to Believers (27-11-19),https://archive.org/download/clc-2019-sermons/Eternal%20Judgement%203%20-%20Judgement%20as%20it%20Pertains%20to%20Believers%20%2827-11-19%29.mp3
FC 2019 Day 1 -The Prophetic Value of God_s Word (04-12-19),https://archive.org/download/clc-2019-sermons/FC%202019%20Day%201%20-The%20Prophetic%20Value%20of%20God_s%20Word%20%2804-12-19%29.mp3
FC 2019 Day 2 - The Prophetic and Melody (05-12-19),https://archive.org/download/clc-2019-sermons/FC%202019%20Day%202%20-%20The%20Prophetic%20and%20Melody%20%2805-12-19%29.mp3
FC 2019 Day 3 Evening - The Manifestation of the Spirit (06-12-19),https://archive.org/download/clc-2019-sermons/FC%202019%20Day%203%20Evening%20-%20The%20Manifestation%20of%20the%20Spirit%20%2806-12-19%29.mp3
FC 2019 Day 3 Morning - The Substance of Faith (06-12-19),https://archive.org/download/clc-2019-sermons/FC%202019%20Day%203%20Morning%20-%20The%20Substance%20of%20Faith%20%2806-12-19%29.mp3
FC 2019 Day 4 Evening - Living Every Day of your Life in the Prophetic (07-12-19),https://archive.org/download/clc-2019-sermons/FC%202019%20Day%204%20Evening%20-%20Living%20Every%20Day%20of%20your%20Life%20in%20the%20Prophetic%20%2807-12-19%29.mp3
FC 2019 Day 4 Morning - Impartation (07-12-19),https://archive.org/download/clc-2019-sermons/FC%202019%20Day%204%20Morning%20-%20Impartation%20%2807-12-19%29.mp3
